City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
277,Itanagar,IN,77.63,clear sky,27.1,93.6167,Hotel Moomsie Itanagar
279,Abu Zabad,SD,75.63,clear sky,12.35,29.25,حامد محمد نور
282,Merauke,ID,85.03,light rain,-8.4667,140.3333,
294,Kismayo,SO,79.92,scattered clouds,-0.3582,42.5454,Agan-Hotel
296,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
299,Boa Vista,BR,78.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
300,Yulara,AU,82.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
301,Humberto De Campos,BR,76.01,scattered clouds,-2.5983,-43.4611,Pousada do Cabeça
304,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
307,Mount Isa,AU,82.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
313,Poum,NC,75.7,clear sky,-20.2333,164.0167,Gîte kajeon
317,Camocim,BR,77.45,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
323,Ugoofaaru,MV,81.97,broken clouds,5.6667,73.0,Ungoofaaru Inn
331,Gohpur,IN,80.85,clear sky,26.8833,93.6333,Murchana Music
332,Dingle,PH,84.36,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
346,Kavaratti,IN,82.02,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
351,Sungairaya,ID,81.93,overcast clouds,0.7,108.9,Mess P.Milu
358,Salinopolis,BR,76.23,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
361,Itaituba,BR,75.33,clear sky,-4.2761,-55.9836,Hotel Campos
362,Kathu,TH,86.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
364,Itarema,BR,78.89,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
365,Puerto Escondido,MX,80.4,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
366,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
367,Biak,ID,84.79,overcast clouds,-0.9131,122.8766,Penginapan Kim
372,Anloga,GH,77.22,scattered clouds,5.7947,0.8973,Pin Drop Hotel
375,Santiago Del Estero,AR,82.8,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
378,Nalhati,IN,81.37,clear sky,24.3,87.8167,JEEVAN DARSHN
379,Pochutla,MX,79.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
381,Hithadhoo,MV,83.32,light rain,-0.6,73.0833,Scoop Guest House
382,Soure,BR,78.48,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
386,Tecoanapa,MX,78.98,scattered clouds,16.5167,-98.75,Hotel Manglares
395,Meulaboh,ID,83.57,overcast clouds,4.1363,96.1285,Kost Pria
406,Madang,PG,82.76,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
409,Santa Cruz Cabralia,BR,75.43,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
411,Karratha,AU,86.67,clear sky,-20.7377,116.8463,ibis Styles Karratha
416,Labrea,BR,76.41,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
419,Pyapon,MM,85.12,scattered clouds,16.2833,95.6833,Aung Naing Thu Motel
429,Monteria,CO,75.92,moderate rain,8.748,-75.8814,Hotel Sinu
430,Kirakira,SB,85.93,broken clouds,-10.4544,161.9205,SanBiz Lodge
431,Alice Springs,AU,83.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
435,Tutoia,BR,78.8,broken clouds,-2.7619,-42.2744,Pousada Guará's
436,Geraldton,AU,75.13,clear sky,-28.7667,114.6,Broadwater Mariner Resort
445,Dawei,MM,85.68,overcast clouds,14.0833,98.2,Hotel Dawei
446,Monte Alegre,BR,75.31,clear sky,-2.0078,-54.0692,Hotel Shekinah
447,Mlimba,TZ,75.11,scattered clouds,-8.8,35.8167,California Lodge
449,Bubaque,GW,79.25,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
450,Amahai,ID,84.85,broken clouds,-3.3333,128.9167,HOTEL ISABELA
455,Damietta,EG,75.09,few clouds,31.4165,31.8133,SULIMAN INN
468,Srivardhan,IN,81.21,broken clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
470,Axim,GH,76.78,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
483,Ixtapa,MX,80.22,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
489,Tessalit,ML,76.71,scattered clouds,20.1986,1.0114,
492,Kyaikto,MM,86.88,scattered clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
497,Tres Arroyos,AR,75.54,broken clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
499,Wattegama,LK,79.72,scattered clouds,6.7989,81.4808,
501,Gunjur,GM,77.07,clear sky,13.2019,-16.7339,"Gunjur, dalabaa lodge"
504,Pundaguitan,PH,82.72,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
506,Mayor Pablo Lagerenza,PY,84.56,broken clouds,-19.9309,-60.7718,
511,Nishihara,JP,78.85,few clouds,26.1842,127.7558,Minshuku Agaihama
521,Ta Khmau,KH,89.65,scattered clouds,11.4833,104.95,Tra Ny Ka Hotel & Restaurant
525,Bontang,ID,85.12,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
526,Morant Bay,JM,82.02,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
528,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
530,Sola,VU,81.61,few clouds,-13.8833,167.55,Leumerus Bungalows
534,Kayankulam,IN,78.85,overcast clouds,9.1833,76.5,Hotel Indraprastha
535,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
541,Nabire,ID,78.1,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
542,Jeremie,HT,78.6,scattered clouds,18.65,-74.1167,Auberge’Inn
544,Remedios,CU,76.12,overcast clouds,22.4947,-79.5458,Hostal Yunai
546,Guarapari,BR,75.09,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
549,Kanniyakumari,IN,82.27,overcast clouds,8.0833,77.5667,Sparsa
551,Daltenganj,IN,75.7,clear sky,24.0333,84.0667,Hotel Galaxy Inn
552,Rivadavia,AR,77.47,few clouds,-33.1905,-68.4608,Posada Del Fin Del Mundo
